Gene,Gene_ID,Gene_OMIM,Disease,Disease_OMIM,OMIM_PhenoClass,Gene_Degree,Disease_Degree,Gene_IC,Disease_IC,Combined_IC,Gene_Network_Score,Dis_Network_Score,PhenotypeClass,GMT_Confirmed,RevGMT_Confirmed,Probability_Score,Percentile,Rank_Gene_for_Disease,Rank_Disease_for_Gene
CLN6,54982,OMIM:606725,"ceroid lipofuscinosis, neuronal, kufs type, adult onset",OMIM:204300,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
CLN6,54982,OMIM:606725,"ceroid lipofuscinosis, neuronal, 6",OMIM:601780,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
CLN8,2055,OMIM:607837,"ceroid lipofuscinosis, neuronal, 8, northern epilepsy variant",OMIM:610003,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
CLN8,2055,OMIM:607837,"ceroid lipofuscinosis, neuronal, 8",OMIM:600143,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
SALL1,6299,OMIM:602218,townes-brocks branchiootorenal-like syndrome,OMIM:107480,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
SALL1,6299,OMIM:602218,townes-brocks syndrome,OMIM:107480,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
PLEKHG5,57449,OMIM:611101,"spinal muscular atrophy, distal, autosomal recessive, 4",OMIM:611067,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
ASAH1,427,OMIM:613468,spinal muscular atrophy with progressive myoclonic epilepsy,OMIM:159950,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
SETBP1,26040,OMIM:611060,"mental retardation, autosomal dominant 29",OMIM:616078,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
KCNJ10,3766,OMIM:602208,sesame syndrome,OMIM:612780,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
ZEB1,6935,OMIM:189909,"corneal dystrophy, fuchs endothelial, 6",OMIM:613270,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
COL8A2,1296,OMIM:120252,"corneal dystrophy, posterior polymorphous 2",OMIM:609140,3,2,1,11.5922,12.1526,23.7448,0.0,1.0,1.0,1.0,1.0,0.782809,91.29,1,1
