drugbank_id,name,drug_class,atc_codes,moa,description,targets,safety_flags,pediatric_safe,pregnancy_category,routes,top_side_effects
DB08736,"S,R-Warfarin alcohol",,[],,,[],[],True,,[],[]
DB08814,Triflusal,,[],,,[],[],True,,[],[]
DB08816,Ticagrelor,,[],,,[],[],True,,[],[]
DB08820,Ivacaftor,,[],,,[],[],True,,[],[]
DB08828,Vismodegib,,[],,,[],[],True,,[],[]
DB08860,Pitavastatin,,[],,,[],[],True,,[],[]
DB08864,Rilpivirine,,[],,,[],[],True,,[],[]
DB08867,Ulipristal,,[],,,[],[],True,,[],[]
DB08881,Vemurafenib,,[],,,[],[],True,,[],[]
DB08893,Mirabegron,,[],,,[],[],True,,[],[]
DB08895,Tofacitinib,,[],,,[],[],True,,[],[]
DB08899,Enzalutamide,,[],,,[],[],True,,[],[]
DB08931,Riociguat,,[],,,[],[],True,,[],[]
DB08932,Macitentan,,[],,,[],[],True,,[],[]
DB09053,Ibrutinib,,[],,,[],[],True,,[],[]
DB09073,Palbociclib,,[],,,[],[],True,,[],[]
DB09079,Nintedanib,,[],,,[],[],True,,[],[]
DB09087,Potassium alum,,[],,,[],[],True,,[],[]
DB09093,Chlortetracycline,,[],,,[],[],True,,[],[]
DB09139,Technetium Tc-99m oxidronate,,[],,,[],[],True,,[],[]
DB09195,Lorpiprazole,,[],,,[],[],True,,[],[]
DB09204,Arotinolol,,[],,,[],[],True,,[],[]
DB09213,Dexibuprofen,,[],,,[],[],True,,[],[]
DB09223,Blonanserin,,[],,,[],[],True,,[],[]
DB09229,Aranidipine,,[],,,[],[],True,,[],[]
DB09236,Lacidipine,,[],,,[],[],True,,[],[]
DB09237,Levamlodipine,,[],,,[],[],True,,[],[]
DB09241,Methylene blue,,[],,,[],[],True,,[],[]
DB09262,Imidafenacin,,[],,,[],[],True,,[],[]
DB09274,Artesunate,,[],,,[],[],True,,[],[]
DB09280,Lumacaftor,,[],,,[],[],True,,[],[]
DB09299,Tenofovir alafenamide,,[],,,[],[],True,,[],[]
DB09333,Iopodic acid,,[],,,[],[],True,,[],[]
DB09347,Acetrizoic acid,,[],,,[],[],True,,[],[]
DB09348,Propiolactone,,[],,,[],[],True,,[],[]
DB09383,Meprednisone,,[],,,[],[],True,,[],[]
DB09418,Potassium perchlorate,,[],,,[],[],True,,[],[]
DB09526,Hydroquinone,,[],,,[],[],True,,[],[]
DB09564,Insulin degludec,,[],,,[],[],True,,[],[]
DB11093,Calcium citrate,,[],,,[],[],True,,[],[]
